,0,1,2
0,ATP,1.1511529653863367e-07,0.03923842878824891
1,ADP,5.9371388507219645e-05,20.237449496715087
2,NAD,0.0012515363159240566,1.060895228623845
3,Pi,0.005898491585957628,unbounded
4,NADH,9.117582716011682e-06,0.007735964092141829
5,CoA,3.640454363505096e-11,0.0005220023650243577
6,AcCoA,0.01080785897380186,111661.88596541359
7,PYR,2.555280527753991e-07,6.297460507586569
8,FOR,unbounded,0.7169467227186466
9,Gluc,3.0406951932593435e-06,unbounded
10,PEP,1.942184502670286e-08,0.00033417568863422845
11,G3P,3.332010590248568e-05,0.0002824459899358868
12,ACDH,unbounded,0.00033329655805555957
13,DHAP,0.0023310838747704335,0.21783470189253726
14,P3G,0.0015078296151924005,0.10791315070298194
15,AcAcCoA,4.999157511056495e-07,4.237657575843505e-06
16,G6P,0.014163523331955957,232.89942647579147
17,BPG,4.5258635745504084e-07,4.238371732108064e-05
18,P2G,3.761697016994002e-05,0.0004834875734951128
19,ETOH,unbounded,0.08614666435961339
20,FBP,0.0036084309604644833,14.181530461370306
21,HBCoA,1.3700791082681445e-07,4.238371732108087e-05
22,PHB,unbounded,0.47849434021507725
23,F6P,8.217876002634112e-06,0.0038100900980086788
