,0,1,2
0,ATP,8.223883197565454e-09,2.2848034035566043
1,ADP,1.0196238312555137e-06,283.2773695873562
2,NAD,0.00015506583256909195,2.3079860029666066
3,Pi,0.00013532794890455584,0.018693509830696984
4,NADH,4.191013284988298e-06,0.06243696525271688
5,CoA,0.00033486038544157756,0.0011701606084792455
6,CO2,unbounded,41234.534250613506
7,AcCoA,0.008024175307821598,0.6493904931609329
8,PYR,8.885755754463148e-13,70.93890219558745
9,Gluc,2.4114684023159158e-08,unbounded
10,PEP,8.663980793415362e-09,0.0016792712735752531
11,G3P,0.0008133602987683354,0.01090714742597098
12,DHAP,0.00067383962961068,0.007535783569756826
13,Ri5P,0.00011721893906495143,0.003399656700629744
14,P3G,0.0003000587266208723,2.9731719231537035
15,AcAcCoA,1.0330404388627127e-08,4.112572162753338e-06
16,Ru5P,1.552999384889912e-05,0.0004504105571190484
17,G6P,0.010942252882196614,30400.354707397815
18,X5P,8.034054742755545e-14,9.693735017434857e-05
19,E4P,3.728565623086966e-05,0.006463178988874677
20,BPG,4.0177457278481503e-08,0.0003981036954643268
21,S7P,1.2194769243903883e-05,0.001182760462279021
22,P2G,1.678072843289348e-05,0.0010838228925778854
23,AcP,0.010399331198936828,56172312.97068174
24,FBP,9.40023511409874e-07,0.03771025193620828
25,HBCoA,1.1307162252925596e-07,0.0003981036954643254
26,PHB,unbounded,17.73672663783533
27,F6P,0.00118631226395159,0.00854099070458915
