,0,1,2
0,ATP,1.11280128721242e-07,0.07922433073193773
1,ADP,2.940561287772225e-05,20.934914676777403
2,NAD,0.0012515363159240577,7.981876522441864
3,Pi,0.002921419971811536,unbounded
4,NADH,1.211845356515339e-06,0.007735964092141856
5,CoA,3.6404543635048635e-11,0.01307411333913574
6,AcCoA,0.001878280650526046,111661.88596542351
7,PYR,1.0202316931086966e-08,6.2974605075865835
8,FOR,unbounded,17.956705446169842
9,Gluc,1.5060032783511897e-06,unbounded
10,PEP,1.942184502670286e-08,0.00033417568863422845
11,G3P,1.6502867119135615e-05,0.0002824459899358863
12,ACDH,unbounded,0.000333296558055559
13,DHAP,0.0019029195639208908,0.26684835795204953
14,P3G,0.0015078296151923886,0.21788199491256796
15,G6P,0.014163523331955894,470.2354747681022
16,BPG,4.525863574550489e-07,8.557482402811762e-05
17,P2G,3.761697016993995e-05,0.00048348757349511316
18,ETOH,unbounded,0.08614666435961361
19,FBP,0.0024046034304975117,28.63321224251231
20,HBCoA,1.3700791082681445e-07,0.0003188831367050072
21,PHB,unbounded,27.08580970664622
22,F6P,3.93456927711024e-06,0.0038100900980086788
