,0,1,2
0,ATP,9.44979697009745e-10,37.03049317264098
1,ADP,6.291139545830297e-08,2465.280478905343
2,NAD,2.5862110209477822e-05,25.998732844134715
3,Pi,6.036907145069492e-05,0.09393703709950431
4,NADH,3.720489016903075e-07,0.374363882977028
5,CoA,2.972656733620469e-05,0.0026231219269909475
6,CO2,unbounded,359487.87527131184
7,AcCoA,0.004821327862425919,1.4557236241302887
8,PYR,1.0192276991914369e-13,246.21241958016063
9,Gluc,1.1276607362884714e-09,unbounded
10,PEP,3.864955316318582e-09,0.008438531306032835
11,G3P,0.00036283566247010556,0.054809670398049154
12,DHAP,0.00030059624102459447,0.016892791447301336
13,Ri5P,3.77113015510174e-05,0.03829605821172017
14,P3G,5.971181260413953e-05,69.33018039520522
15,AcAcCoA,2.05575481148421e-09,2.0666148161890893e-05
16,Ru5P,6.9278468777671794e-06,0.001865117275383537
17,G6P,0.0028185470908856317,124973.18564812672
18,X5P,3.18157944649203e-15,0.0007293292858975236
19,E4P,3.309960266455278e-06,0.03247821783909576
20,BPG,1.15879046354493e-08,0.004141193395763601
21,S7P,2.914489134940577e-06,0.013323422775472726
22,P2G,7.48579286067901e-06,0.0024295806694352765
23,AcP,0.0020694712756809497,1418450945.5868847
24,FBP,2.42134829268954e-07,0.18949835355938394
25,HBCoA,6.111849344475013e-08,0.010052827334486687
26,PHB,unbounded,33462.98911164989
27,F6P,0.0005292075318147361,0.019146140993884724
