,0,1,2
0,ATP,8.223883197565454e-09,4.185801118629584
1,ADP,5.56557737449964e-07,283.2773695873567
2,NAD,5.797449331071117e-05,7.746270812406311
3,Pi,0.0001353279489045544,9.253418751875007
4,NADH,1.248704084100464e-06,0.16700171829205399
5,CoA,6.259715907163126e-06,0.11128720762946019
6,CO2,unbounded,138395.06336612598
7,AcCoA,0.00027000433414216593,0.6493904931609319
8,PYR,2.647493278215316e-13,70.93890219558682
9,Gluc,1.3162907307417643e-08,unbounded
10,PEP,8.663980793415362e-09,0.0016792712735752458
11,G3P,0.0008133602987683347,0.010907147425970999
12,DHAP,0.0006738396296106793,0.007535783569756799
13,Ri5P,0.00011721893906495288,0.0033996567006296927
14,P3G,0.0003000587266208734,9.978827800076916
15,Ru5P,1.5529993848899093e-05,0.00045041055711904403
16,G6P,0.010942252882196789,55693.999117333726
17,X5P,1.5448203521338929e-15,9.693735017434942e-05
18,E4P,3.728565623086959e-05,0.006463178988874642
19,BPG,4.0177457278481503e-08,0.001336151533207989
20,S7P,1.2194769243903905e-05,0.0011827604622790232
21,P2G,1.6780728432893274e-05,0.0010838228925778863
22,AcP,0.0002445066305461139,56172312.970680945
23,FBP,9.40023511409894e-07,0.03771025193620821
24,HBCoA,9.150801658733268e-08,0.0013361515332079939
25,PHB,unbounded,199.7986195730217
26,F6P,0.0011863122639515944,0.008540990704589165
