GluKin,2.7462834641163294e-05
PGI,0.00014535940651059376
PKT,0.00030029532943440923
TALA,0.00015368176545134545
TKT1,0.00011110553072828084
RibIso,5.787608145244278e-05
RibEpi,8.335458747848684e-05
TKT2,0.00017440991187516914
TPI,9.080966712073842e-07
ALD,4.2554844032248726e-07
FBPase,0.00010053668291764679
GAPDH,2.0761467911841804e-05
PGK,8.796056408135072e-06
PGM,5.712272207029218e-05
ENO,3.854068625686454e-05
PYK,3.101686750960612e-05
PDH,4.243285096277253e-05
PTA,0.00023928773365330708
Thio,0.0008934650468721716
AAR,0.0007740328634929979
