1.007251137989188207e-05,1.004523911814151793e+00,6.969524094562133065e+00,4.000000000000000000e+00
1.095460667741473664e-05,1.382705275927500699e+00,2.941678924550931828e+00,4.000000000000000000e+00
1.247803670570472745e-05,1.007342586122354389e+00,2.313518163744458178e+00,4.000000000000000000e+00
1.442860384139934731e-05,3.754260927355273392e+00,1.499404774824573794e+00,4.000000000000000000e+00
1.026916937021270388e-05,1.000000000202376782e+00,2.361890432549714447e+01,4.000000000000000000e+00
7.023543282526766672e-07,2.274902992685027492e+00,7.863094133593325807e+01,4.000000000000000000e+00
2.342713903890616354e-06,1.608883233193947992e+00,2.435767556432658765e+01,4.000000000000000000e+00
1.114432613668448236e-06,5.400366106554728596e+00,7.833684279531797578e+00,4.000000000000000000e+00
2.197997281383022103e-06,3.055827659403845153e+00,1.018040936933715557e+01,4.000000000000000000e+00
3.031324164572389375e-05,1.572159129611412576e+00,3.056485711354433032e+00,4.000000000000000000e+00
6.128817782804634719e-07,1.012903452184972464e+00,1.166161558639325468e+00,4.000000000000000000e+00
1.835136402490642172e-08,4.274008145800516800e+00,4.585875015654259812e+00,4.000000000000000000e+00
4.517374634560274090e-05,1.001248098593490399e+00,1.865785058239499472e+00,4.000000000000000000e+00
8.647473760794717972e-06,1.376908913208682250e+00,1.376431171893731653e+00,4.000000000000000000e+00
1.915375032017439105e-06,1.167951161000595039e+00,3.103119603583071040e+00,4.000000000000000000e+00
1.997955467195975323e-05,1.653650289005785812e+00,1.441592361405953149e+00,4.000000000000000000e+00
1.147567507877580478e-05,1.171710302415157168e+00,2.405719856671673984e+00,4.000000000000000000e+00
9.707644355079511923e-06,1.000830734708188396e+00,2.717737099381064780e+00,4.000000000000000000e+00
2.276351610889561306e-05,1.000000001192959287e+00,1.544239954034798412e+00,4.000000000000000000e+00
2.651664268395160116e-05,1.337973061300121946e+00,5.683721766022014954e+00,4.000000000000000000e+00
4.499101497796583284e-04,1.576237125994774502e+00,1.026715971943681138e+00,4.000000000000000000e+00
3.075117849687327185e-05,1.010905223162634314e+00,2.123150730991441648e+01,4.000000000000000000e+00
