Thio,29.524177637164414
PKT,22.464174414259013
AAR,17.7147710471673
PTA,15.561751337400365
TKT2,10.639711585452316
PDH,7.608792373769484
TKT1,6.705917782023252
PGI,4.997520306900197
TALA,4.424759196424505
SucP,3.962417215630882
FBPase,3.1084100743769785
HPM,2.6004254198979098
RibEpi,1.6789721871824927
ENO,1.476834712245987
PGM,1.3600952402080482
PYK,1.3560683523553767
RibIso,1.0777531636027495
FruKin,0.9451042754088622
GAPDH,0.5823292662642717
PGK,0.28543616759855833
TPI,0.019526150527871027
ALD,0.01370734875710472
