,0,1,2
0,ATP,1.327606613421787e-09,0.6285611829985104
1,ADP,3.7063058664975225e-06,1754.7667934521398
2,NAD,0.00014076795667704016,7.981876522441906
3,Pi,0.00032859000158039334,unbounded
4,NADH,1.211845356515337e-06,0.0687787208719158
5,CoA,3.94751521106579e-11,0.03898361149291934
6,AcCoA,0.0006299276328501121,102976.17064539377
7,PYR,3.2876234169517458e-09,0.033789926256624137
8,FOR,unbounded,2.1081937569666143
9,Gluc,1.0560679288915978e-08,unbounded
10,PEP,1.942184502670286e-08,0.00033417568863422845
11,G3P,1.6502867119135672e-05,0.0025111639185250796
12,ACDH,unbounded,0.002963264909329031
13,P3G,0.0015078296151923873,2.5347578373928354
14,G6P,2.323287939804202e-08,3730.820615048186
15,BPG,4.5258635745504566e-07,0.0007608265583176521
16,P2G,3.761697016994002e-05,0.0004834875734951128
17,ETOH,unbounded,6.809539836779454
18,P6GLN,1.1939368571280634e-11,33.0100752536482
19,P6Glac,5.710377772591361e-08,16.954420209885715
20,KDPG,5.415815311645565e-05,171010.91739488862
21,HBCoA,1.3700791082681445e-07,0.002835118414325801
22,PHB,unbounded,2141.021960396425
